zone,shift_type,avg_weekly_income,rain_intensity,traffic_congestion,aqi_level,uv_index,claim_count,total_payout_history,actual_loss
HSR Layout,Night,9486.37,0.83,0.28,70.6,2.0,1,428.36,376.03
Yelahanka,Night,5202.37,1.03,0.2721,146.7,12.0,1,482.19,470.69
Electronic City,Night,5589.15,7.74,0.3007,20.0,5.0,1,443.9,266.13
Electronic City,Morning,7124.63,0.79,0.1678,113.6,5.0,4,1355.3,374.46
Koramangala,Morning,9229.03,1.02,0.2563,190.6,7.0,1,514.31,509.61
Koramangala,Night,9227.9,1.38,0.3977,113.2,4.0,3,1447.41,394.57
Indiranagar,Peak,6990.35,3.27,0.0341,84.0,11.0,0,0.0,571.74
HSR Layout,Night,8546.03,0.38,0.2845,116.8,6.0,1,492.79,335.54
Marathahalli,Peak,3621.88,9.23,0.3996,125.0,9.0,0,0.0,341.28
Electronic City,Peak,5561.36,6.02,0.1156,164.8,4.0,3,1243.37,370.24
Jayanagar,Night,5602.1,2.58,0.2547,126.5,11.0,2,1015.52,465.54
HSR Layout,Night,9504.43,3.36,0.1396,158.1,6.0,1,544.69,434.46
Indiranagar,Night,8309.31,0.05,0.295,124.6,13.0,0,0.0,792.17
Indiranagar,Morning,7369.31,1.24,0.0482,82.5,12.0,1,461.88,631.38
HSR Layout,Peak,7563.47,4.76,0.4822,49.9,9.0,0,0.0,514.99
Indiranagar,Morning,10136.68,0.24,0.2544,138.6,10.0,1,529.82,643.4
HSR Layout,Morning,6659.64,1.0,0.1501,20.0,12.0,3,1728.33,616.7
Whitefield,Night,4371.87,2.64,0.3794,31.7,1.0,2,870.22,183.88
HSR Layout,Morning,9174.39,0.89,0.046,50.1,8.0,0,0.0,216.35
Yelahanka,Night,7363.68,8.15,0.3229,155.7,1.0,7,2894.47,451.84
HSR Layout,Peak,8907.34,0.42,0.3802,45.5,4.0,4,1966.53,352.2
Indiranagar,Night,6910.47,4.79,0.4477,143.5,3.0,1,480.35,422.45
Electronic City,Morning,5322.62,2.13,0.1794,68.4,4.0,1,530.19,191.65
Yelahanka,Morning,7805.64,4.16,0.2652,112.7,7.0,4,2185.85,417.1
Indiranagar,Night,7020.35,1.12,0.6354,116.9,13.0,2,658.37,702.16
Koramangala,Night,7369.88,2.17,0.3868,111.9,9.0,1,441.51,408.63
Koramangala,Morning,10233.14,5.83,0.1702,87.7,9.0,2,993.96,580.74
Electronic City,Peak,4802.6,1.89,0.1584,41.7,10.0,0,0.0,292.74
Electronic City,Peak,7571.84,1.34,0.4195,121.3,1.0,3,1427.19,387.59
Yelahanka,Night,5362.01,2.3,0.3766,147.9,10.0,1,589.24,444.98
Whitefield,Peak,2000.0,3.79,0.3335,154.0,1.0,2,1048.22,173.7
Electronic City,Morning,6902.07,1.76,0.3181,124.1,9.0,0,0.0,506.15
Koramangala,Night,7062.05,8.38,0.2199,132.9,4.0,0,0.0,356.86
HSR Layout,Morning,8247.04,1.05,0.0693,81.4,12.0,1,478.03,521.25
Indiranagar,Morning,6564.92,1.94,0.6301,142.5,13.0,1,506.46,768.13
Koramangala,Peak,4022.0,4.24,0.3827,140.6,3.0,2,928.74,289.35
Koramangala,Night,5355.14,3.51,0.1533,105.1,13.0,0,0.0,602.62
Whitefield,Night,9633.92,5.98,0.1195,122.4,9.0,0,0.0,540.1
Yelahanka,Peak,5326.74,17.24,0.164,118.7,5.0,1,575.84,493.05
Yelahanka,Morning,10166.45,1.67,0.5602,142.8,12.0,2,793.62,680.16
Marathahalli,Morning,9099.97,0.35,0.1922,42.8,6.0,0,0.0,322.4
Whitefield,Morning,6364.44,0.09,0.4499,41.8,1.0,0,0.0,294.64
HSR Layout,Morning,5541.84,3.89,0.0987,44.4,1.0,4,1894.2,292.72
Yelahanka,Night,9095.83,6.21,0.1238,97.8,13.0,0,0.0,811.12
Indiranagar,Night,6518.18,0.75,0.2658,142.8,7.0,4,1562.43,320.01
Electronic City,Peak,3908.7,0.52,0.0878,20.0,10.0,1,363.36,390.8
Whitefield,Peak,8124.63,0.19,0.2802,124.7,8.0,2,997.21,346.69
Electronic City,Night,7834.53,5.19,0.4736,179.7,11.0,0,0.0,669.97
Koramangala,Night,9275.41,1.12,0.3891,133.7,8.0,3,1611.39,546.63
Indiranagar,Morning,7699.19,1.54,0.4807,20.0,13.0,0,0.0,742.99
Indiranagar,Morning,5901.71,2.1,0.3204,146.1,7.0,1,409.0,362.26
Koramangala,Peak,9539.36,5.49,0.211,132.1,13.0,0,0.0,878.21
Whitefield,Night,9733.98,3.16,0.2339,102.9,11.0,3,1739.41,603.36
Koramangala,Peak,7466.41,2.86,0.1454,129.1,9.0,3,1607.41,387.35
Electronic City,Night,7120.64,0.58,0.1849,50.2,1.0,1,360.34,278.01
Marathahalli,Morning,4353.46,2.16,0.2843,122.5,2.0,0,0.0,155.01
Indiranagar,Peak,5784.95,3.77,0.3443,143.9,13.0,2,864.47,764.33
Jayanagar,Peak,8521.54,10.86,0.1208,85.4,3.0,3,1667.36,374.47
Jayanagar,Night,5885.44,0.67,0.0737,96.5,13.0,2,875.67,535.33
Electronic City,Morning,4086.32,0.03,0.0687,91.6,12.0,4,1853.72,438.29
HSR Layout,Peak,13991.76,0.23,0.2548,96.2,13.0,1,559.25,886.42
Yelahanka,Morning,4073.19,1.41,0.5781,78.5,5.0,0,0.0,11.63
Koramangala,Peak,11513.5,5.15,0.5644,81.5,4.0,0,0.0,597.39
Koramangala,Morning,6385.15,0.02,0.0168,145.8,4.0,2,995.13,227.63
HSR Layout,Night,6830.87,1.83,0.3988,32.9,8.0,1,457.58,209.38
HSR Layout,Peak,5655.44,1.2,0.2338,129.1,8.0,0,0.0,166.66
Electronic City,Peak,8565.67,0.16,0.185,145.7,11.0,0,0.0,596.77
Electronic City,Morning,4120.45,1.79,0.3794,52.4,7.0,1,521.43,243.48
HSR Layout,Morning,3319.34,0.88,0.5403,116.2,1.0,0,0.0,149.69
Indiranagar,Peak,10220.34,1.3,0.4876,74.2,10.0,0,0.0,623.37
Electronic City,Night,5392.06,3.67,0.376,176.8,4.0,4,1356.52,390.96
Marathahalli,Morning,8492.18,2.21,0.2891,109.7,1.0,0,0.0,376.75
Electronic City,Morning,4829.09,0.4,0.1488,193.7,11.0,0,0.0,467.78
Koramangala,Morning,8416.84,9.76,0.1981,186.1,5.0,2,635.69,652.75
Electronic City,Peak,10367.09,3.03,0.2665,135.4,3.0,3,1374.07,449.98
Indiranagar,Peak,5945.76,4.36,0.2187,227.1,3.0,2,976.28,466.81
HSR Layout,Peak,3133.12,0.25,0.1566,41.3,4.0,0,0.0,96.82
Koramangala,Peak,10377.59,0.14,0.303,192.3,2.0,3,1150.65,526.91
Electronic City,Night,8852.49,0.06,0.2136,106.6,7.0,1,534.16,352.57
Indiranagar,Night,6052.86,0.63,0.2719,113.7,12.0,1,352.09,625.98
Marathahalli,Peak,6564.1,1.61,0.2098,96.9,13.0,2,1163.22,566.33
Electronic City,Night,4778.7,8.24,0.2249,47.5,4.0,2,847.9,296.22
Indiranagar,Morning,9840.51,1.83,0.453,148.5,5.0,1,453.21,582.51
Marathahalli,Morning,5930.57,1.03,0.2886,58.0,12.0,4,1816.95,596.88
HSR Layout,Morning,4162.58,2.48,0.2805,90.5,2.0,2,1081.43,159.05
Electronic City,Peak,7427.29,0.36,0.9147,92.7,6.0,3,1091.89,335.4
Marathahalli,Morning,5279.97,2.82,0.555,169.8,9.0,1,465.81,383.84
Koramangala,Night,4939.97,2.52,0.3331,116.3,8.0,0,0.0,187.53
HSR Layout,Peak,6139.8,4.71,0.3624,20.0,8.0,1,655.84,264.86
Koramangala,Night,7172.71,12.96,0.1299,75.0,2.0,0,0.0,413.65
Jayanagar,Morning,4237.78,0.87,0.2741,41.9,4.0,0,0.0,177.22
Whitefield,Morning,9770.3,2.14,0.6175,145.1,8.0,2,1231.14,489.77
Electronic City,Morning,8354.32,7.19,0.4339,60.9,11.0,2,1038.61,763.16
Marathahalli,Peak,6269.27,4.61,0.1079,89.7,1.0,0,0.0,214.36
Whitefield,Night,5193.31,2.0,0.5962,207.5,8.0,1,477.42,380.45
Whitefield,Peak,6821.55,8.72,0.5027,151.8,3.0,0,0.0,406.72
Marathahalli,Peak,8798.87,0.18,0.4661,61.8,8.0,3,970.32,336.9
HSR Layout,Morning,8489.17,8.02,0.2753,161.3,6.0,0,0.0,445.51
Electronic City,Peak,9117.01,0.16,0.2787,84.1,7.0,2,932.57,354.17
Jayanagar,Peak,6039.25,2.38,0.271,161.1,2.0,2,1014.3,350.49
Koramangala,Morning,2000.0,6.63,0.1062,99.4,1.0,1,402.16,133.79
Indiranagar,Peak,9495.62,0.91,0.3649,72.0,6.0,0,0.0,300.79
Koramangala,Morning,6665.61,1.92,0.1297,67.3,12.0,1,449.87,680.02
Indiranagar,Morning,8332.33,1.18,0.5224,134.4,3.0,3,1204.6,376.43
Koramangala,Morning,10338.46,9.12,0.2573,165.7,4.0,2,1141.88,610.78
Marathahalli,Morning,11868.82,5.21,0.1942,138.6,13.0,2,1095.86,964.8
Jayanagar,Peak,5700.36,3.7,0.4051,98.4,9.0,2,877.46,325.57
Electronic City,Morning,7267.92,2.66,0.2681,30.1,3.0,0,0.0,211.35
Indiranagar,Morning,9733.67,5.15,0.2025,88.0,2.0,0,0.0,457.2
Electronic City,Peak,5311.44,1.49,0.0332,57.4,2.0,3,1329.28,56.73
Electronic City,Peak,5835.78,1.78,0.2682,188.4,2.0,3,1791.26,395.78
Electronic City,Night,5823.92,3.93,0.1453,100.1,6.0,2,1063.34,312.28
Yelahanka,Peak,6943.82,1.33,0.2086,135.0,2.0,2,1006.25,330.95
HSR Layout,Peak,6559.75,0.2,0.1664,102.8,11.0,1,451.32,443.71
Koramangala,Night,5812.41,0.23,0.1332,141.5,7.0,0,0.0,268.87
Electronic City,Peak,5068.49,0.37,0.3996,155.9,7.0,2,725.06,238.22
Koramangala,Peak,8623.88,6.11,0.5718,236.4,7.0,4,1816.52,681.9
Electronic City,Peak,9675.66,1.92,0.3663,97.2,13.0,1,510.08,805.56
Indiranagar,Peak,9965.43,3.74,0.5456,172.2,2.0,0,0.0,498.24
HSR Layout,Night,6037.85,1.5,0.4824,133.9,7.0,0,0.0,276.75
HSR Layout,Peak,8707.45,0.9,0.0485,91.1,10.0,0,0.0,414.48
Marathahalli,Peak,7472.65,1.28,0.3077,94.7,8.0,1,407.38,340.88
Yelahanka,Night,5858.66,4.74,0.0721,143.5,8.0,7,2800.43,279.49
Marathahalli,Morning,8468.44,2.94,0.4816,105.2,2.0,3,1379.55,424.17
Marathahalli,Night,5766.79,8.32,0.3053,125.2,5.0,4,2154.96,371.46
Marathahalli,Morning,6247.65,3.42,0.7613,153.2,6.0,2,822.63,387.08
Marathahalli,Night,4246.54,2.53,0.1041,244.8,9.0,1,483.26,463.49
Marathahalli,Night,6071.56,2.83,0.3594,121.6,6.0,8,3849.91,324.5
Jayanagar,Peak,7507.72,8.56,0.3087,63.6,10.0,1,554.41,501.76
HSR Layout,Morning,10137.87,4.66,0.5952,139.9,6.0,4,1924.28,614.79
Marathahalli,Peak,6293.01,0.07,0.2277,95.8,10.0,2,721.94,362.32
Electronic City,Morning,4923.66,2.29,0.4744,214.7,10.0,0,0.0,526.49
HSR Layout,Night,9994.74,3.5,0.3637,95.1,6.0,1,557.74,440.41
HSR Layout,Night,5990.9,4.14,0.4695,120.9,9.0,1,518.66,400.09
Whitefield,Morning,3503.24,0.72,0.221,151.1,10.0,0,0.0,428.11
Jayanagar,Peak,7266.19,6.06,0.366,144.6,7.0,1,454.49,358.83
Marathahalli,Peak,6350.45,9.36,0.1616,189.5,1.0,4,1464.84,510.08
Koramangala,Peak,11600.79,0.81,0.1659,153.4,1.0,2,906.6,585.66
Indiranagar,Peak,7950.73,6.43,0.3254,237.1,4.0,0,0.0,475.97
Yelahanka,Night,6707.32,0.31,0.5592,142.5,12.0,1,477.98,561.21
Electronic City,Night,5151.01,0.17,0.4155,185.0,2.0,2,1240.41,327.95
Koramangala,Night,7660.33,0.42,0.3557,96.5,3.0,1,533.68,349.25
Jayanagar,Night,9913.42,0.18,0.1241,218.7,12.0,1,557.89,753.64
Indiranagar,Night,7623.63,5.59,0.6468,102.6,7.0,2,1046.43,495.46
Jayanagar,Peak,5305.14,0.18,0.3031,194.3,7.0,1,493.01,256.99
Electronic City,Peak,8077.61,0.95,0.0672,164.6,12.0,0,0.0,604.25
HSR Layout,Peak,6902.79,0.33,0.0422,123.3,3.0,1,321.27,283.13
Indiranagar,Peak,7897.23,1.05,0.3665,194.8,13.0,1,459.17,865.56
HSR Layout,Night,6290.39,0.28,0.2304,119.4,2.0,0,0.0,195.26
Electronic City,Night,6243.41,3.31,0.0454,188.4,13.0,0,0.0,830.15
Koramangala,Night,6164.44,0.43,0.3651,138.9,13.0,1,575.49,774.92
Electronic City,Morning,8884.48,5.73,0.3598,101.1,1.0,4,1575.51,474.31
Koramangala,Peak,6263.55,5.1,0.4627,136.0,9.0,2,748.21,555.8
Indiranagar,Peak,6080.54,0.04,0.2403,121.7,10.0,2,1022.33,421.03
Indiranagar,Night,5115.87,6.78,0.1859,97.9,3.0,1,474.51,339.73
Marathahalli,Peak,7908.03,0.09,0.2996,131.6,9.0,0,0.0,424.5
Jayanagar,Peak,7623.4,0.82,0.2538,140.2,4.0,0,0.0,270.54
Marathahalli,Night,6102.46,0.1,0.3712,20.0,10.0,3,1577.46,407.54
Jayanagar,Morning,5581.24,1.23,0.2654,145.1,6.0,1,355.95,254.88
Marathahalli,Morning,10752.35,2.16,0.7479,157.1,13.0,1,554.63,1021.4
HSR Layout,Morning,3239.11,4.78,0.283,192.6,7.0,0,0.0,211.86
Indiranagar,Night,7986.34,1.24,0.1981,58.2,10.0,4,1973.74,433.72
Koramangala,Peak,9582.81,3.67,0.2095,69.1,6.0,4,1390.91,415.89
Jayanagar,Night,2000.0,0.62,0.2722,130.5,1.0,0,0.0,103.2
Electronic City,Night,8588.28,4.17,0.3542,84.4,6.0,2,751.76,418.3
Jayanagar,Peak,6559.49,0.81,0.4835,60.5,11.0,0,0.0,446.45
Koramangala,Morning,7512.11,0.46,0.2997,99.3,6.0,1,422.17,312.04
Marathahalli,Morning,6353.52,0.62,0.5102,102.0,5.0,0,0.0,336.65
Jayanagar,Night,9150.79,0.6,0.1975,69.2,3.0,0,0.0,208.47
Yelahanka,Morning,7726.24,2.16,0.3976,68.9,10.0,0,0.0,419.85
HSR Layout,Night,7263.44,5.59,0.3884,113.9,3.0,5,2183.44,508.56
Indiranagar,Night,5202.28,0.25,0.1805,47.6,11.0,3,1503.92,426.26
Koramangala,Peak,10764.58,3.68,0.2309,46.8,10.0,0,0.0,580.0
Indiranagar,Peak,7019.86,3.19,0.2997,123.6,13.0,1,496.31,791.44
Yelahanka,Peak,11579.61,6.18,0.7693,195.3,7.0,0,0.0,589.45
Jayanagar,Night,10855.14,0.84,0.397,156.7,8.0,0,0.0,498.73
Jayanagar,Peak,3443.3,1.79,0.2856,181.1,3.0,3,1489.29,359.17
Electronic City,Morning,5690.11,7.8,0.3791,29.7,3.0,0,0.0,303.41
Yelahanka,Morning,4926.1,3.24,0.1883,49.6,7.0,2,929.14,336.15
Koramangala,Night,6903.59,1.48,0.5138,120.5,10.0,1,473.4,486.29
Electronic City,Night,7374.33,0.42,0.34,161.8,12.0,0,0.0,656.28
HSR Layout,Peak,7459.85,0.91,0.3575,151.9,7.0,1,515.0,289.05
Electronic City,Night,9108.26,2.61,0.5398,52.8,11.0,5,2424.49,656.66
Whitefield,Night,9987.17,3.8,0.4058,176.8,9.0,3,1476.16,625.08
Koramangala,Morning,8934.98,0.4,0.2484,115.9,6.0,0,0.0,378.47
Whitefield,Morning,5878.13,2.75,0.3475,158.9,13.0,3,1390.4,701.46
Yelahanka,Peak,5435.95,2.4,0.2057,89.7,7.0,5,2529.06,198.67
Marathahalli,Night,7005.52,2.16,0.3308,42.8,11.0,0,0.0,501.62
Whitefield,Night,7852.24,3.51,0.0845,162.3,10.0,0,0.0,593.24
HSR Layout,Morning,6633.62,5.45,0.1296,143.5,1.0,0,0.0,335.32
Electronic City,Night,4309.03,1.17,0.4811,57.7,7.0,0,0.0,182.0
Marathahalli,Morning,8364.12,6.6,0.2176,86.6,2.0,2,850.4,397.35
Electronic City,Peak,6215.37,0.53,0.1525,154.3,7.0,0,0.0,187.64
Whitefield,Morning,6154.97,0.57,0.1902,130.3,3.0,0,0.0,338.05
Electronic City,Night,6890.77,0.93,0.2971,145.1,9.0,0,0.0,340.29
Yelahanka,Peak,6520.2,0.38,0.4549,93.8,13.0,1,380.23,637.6
Marathahalli,Morning,6267.0,0.79,0.2402,191.2,5.0,1,492.51,328.03
Yelahanka,Morning,4439.75,0.34,0.3918,114.4,7.0,2,1000.88,148.96
Whitefield,Peak,6775.51,5.17,0.0319,20.0,8.0,0,0.0,334.21
Yelahanka,Peak,8405.91,0.45,0.3027,125.3,13.0,1,542.86,608.38
HSR Layout,Morning,7529.29,4.13,0.1237,150.2,12.0,0,0.0,614.21
Whitefield,Night,8896.24,0.15,0.4227,134.9,2.0,5,2536.63,446.48
Whitefield,Morning,5542.91,8.9,0.1014,98.7,11.0,1,540.62,556.95
Whitefield,Peak,4443.88,3.73,0.3864,22.3,1.0,0,0.0,254.95
Koramangala,Morning,6508.3,0.02,0.133,87.5,7.0,0,0.0,265.16
Electronic City,Peak,5771.53,4.33,0.2368,92.2,6.0,0,0.0,244.59
Koramangala,Peak,5979.33,2.17,0.188,87.0,6.0,0,0.0,249.67
Koramangala,Night,7423.5,4.53,0.4079,150.6,2.0,2,1040.35,436.58
HSR Layout,Peak,5993.84,2.22,0.5761,103.3,3.0,3,1633.32,351.09
Marathahalli,Peak,4499.86,3.07,0.0747,189.1,4.0,0,0.0,243.24
Electronic City,Night,5882.01,4.63,0.0291,108.7,3.0,1,410.58,249.09
Yelahanka,Peak,7680.12,1.56,0.1608,180.8,2.0,2,1096.77,396.93
Jayanagar,Night,8342.96,0.01,0.0665,130.7,3.0,1,401.44,336.29
Whitefield,Night,8322.85,5.69,0.1543,133.2,6.0,0,0.0,362.52
Yelahanka,Peak,7848.95,1.44,0.1208,85.9,9.0,0,0.0,270.67
Whitefield,Peak,6663.81,2.06,0.2337,52.5,4.0,4,1730.61,238.25
HSR Layout,Morning,7809.83,0.02,0.1355,116.3,6.0,3,1078.47,276.33
Whitefield,Night,6915.33,2.03,0.3713,204.3,1.0,0,0.0,428.07
Koramangala,Morning,7226.19,12.91,0.6834,97.1,12.0,0,0.0,818.78
Electronic City,Peak,5121.35,0.98,0.2514,89.1,6.0,2,830.87,236.87
Jayanagar,Morning,7087.75,1.51,0.2537,111.4,12.0,1,517.04,558.55
Indiranagar,Night,7757.33,3.49,0.4414,208.4,3.0,2,730.29,546.23
Whitefield,Morning,7682.25,5.06,0.5061,159.3,9.0,0,0.0,533.1
Yelahanka,Night,4424.96,1.62,0.0147,180.7,4.0,5,2046.39,172.31
Koramangala,Peak,7192.52,1.11,0.2343,21.0,7.0,3,1732.22,243.92
Indiranagar,Peak,4112.22,8.33,0.2174,78.8,4.0,0,0.0,313.58
Jayanagar,Night,7347.35,3.39,0.2382,80.5,11.0,1,450.76,454.15
Indiranagar,Peak,5597.33,0.38,0.5026,176.8,6.0,0,0.0,373.99
Koramangala,Peak,10411.29,0.21,0.2347,153.0,7.0,1,491.56,462.99
Electronic City,Peak,7238.49,1.98,0.1864,172.8,2.0,2,812.17,324.51
Electronic City,Peak,8602.33,0.75,0.5466,26.2,10.0,0,0.0,540.01
Marathahalli,Night,11221.75,0.88,0.3661,175.5,6.0,2,1008.96,524.21
Electronic City,Morning,5365.2,6.3,0.2846,153.0,8.0,0,0.0,333.88
Marathahalli,Morning,7871.35,0.28,0.3739,73.8,13.0,2,568.06,717.29
Indiranagar,Peak,4628.18,3.77,0.0601,110.2,13.0,1,481.29,513.26
HSR Layout,Morning,7689.79,0.95,0.1333,75.3,12.0,3,1499.54,634.22
Yelahanka,Morning,10531.42,4.29,0.0859,115.2,6.0,0,0.0,405.57
Yelahanka,Peak,5744.23,3.84,0.5195,142.5,2.0,1,481.8,264.35
Indiranagar,Peak,5228.09,0.02,0.1375,190.2,4.0,1,454.31,330.36
Whitefield,Morning,6817.65,2.13,0.2699,73.0,1.0,1,660.59,227.04
Whitefield,Night,11091.63,0.45,0.1723,96.5,7.0,1,499.46,342.59
Electronic City,Peak,8542.08,6.03,0.1123,64.9,8.0,1,489.8,358.48
Yelahanka,Night,5190.17,6.16,0.5817,158.3,10.0,7,3884.48,481.58
Yelahanka,Morning,9910.12,1.63,0.3564,41.2,2.0,0,0.0,333.75
Marathahalli,Peak,3689.87,1.76,0.6681,128.9,10.0,2,753.95,338.47
HSR Layout,Night,11273.12,1.08,0.2367,58.7,5.0,1,552.57,326.99
Koramangala,Peak,8712.9,3.78,0.1615,122.3,11.0,1,453.32,664.49
Whitefield,Morning,10527.11,1.33,0.4673,177.8,8.0,2,1177.72,566.33
Yelahanka,Night,3704.4,0.94,0.0642,94.4,11.0,3,1751.52,348.72
Marathahalli,Morning,7338.88,1.7,0.3451,131.0,8.0,1,294.19,310.73
Jayanagar,Morning,6732.22,0.29,0.4317,75.3,5.0,3,1457.36,221.58
Marathahalli,Peak,4986.04,4.12,0.5666,114.4,8.0,0,0.0,212.33
Whitefield,Night,4407.95,0.04,0.215,42.1,6.0,2,679.16,111.46
Whitefield,Morning,8014.16,3.1,0.2637,155.4,5.0,0,0.0,364.42
Marathahalli,Morning,8195.46,0.61,0.2425,99.2,13.0,1,532.63,754.5
Koramangala,Night,9599.95,0.79,0.2932,109.6,11.0,1,475.62,661.88
Indiranagar,Morning,5993.16,3.03,0.0783,123.5,4.0,1,476.2,289.45
Whitefield,Morning,6716.78,14.86,0.5382,21.7,5.0,1,575.87,392.98
Marathahalli,Night,4235.08,4.51,0.291,85.4,12.0,0,0.0,544.55
Yelahanka,Night,10081.57,0.77,0.5344,126.8,4.0,2,1092.98,437.71
Marathahalli,Night,7139.1,0.58,0.4672,112.0,1.0,1,516.74,373.43
HSR Layout,Night,8445.18,6.03,0.4861,228.9,3.0,0,0.0,541.05
Indiranagar,Peak,8515.81,1.76,0.2492,182.9,8.0,0,0.0,420.92
Jayanagar,Night,9918.21,0.44,0.0931,127.0,7.0,2,1196.27,323.06
Koramangala,Peak,5337.2,5.95,0.1711,68.9,12.0,3,1106.78,640.68
Electronic City,Peak,8395.17,5.08,0.2632,95.3,7.0,0,0.0,339.68
Jayanagar,Peak,6949.98,12.39,0.3061,152.9,11.0,0,0.0,714.05
Indiranagar,Morning,11211.35,7.22,0.4734,123.8,3.0,0,0.0,618.72
Indiranagar,Peak,5331.27,5.73,0.48,183.8,9.0,4,1676.18,465.67
Indiranagar,Peak,9342.85,0.16,0.2713,123.4,6.0,2,1141.56,403.16
Jayanagar,Morning,7700.68,0.33,0.3375,125.8,8.0,0,0.0,412.05
Yelahanka,Morning,7595.71,2.52,0.1827,201.2,8.0,3,1333.14,317.9
Indiranagar,Morning,7108.04,2.27,0.4372,65.2,3.0,0,0.0,300.78
Marathahalli,Night,9693.33,1.84,0.4364,206.7,4.0,0,0.0,557.09
Jayanagar,Morning,7527.7,1.52,0.2575,158.5,6.0,4,2258.99,359.41
Electronic City,Morning,3951.17,1.69,0.4708,281.8,2.0,3,1607.11,384.48
Indiranagar,Peak,9439.01,2.53,0.2935,84.9,12.0,3,1126.21,733.89
Marathahalli,Morning,9072.4,0.01,0.363,201.5,12.0,1,496.91,733.11
Yelahanka,Night,8174.28,0.91,0.5769,126.7,11.0,0,0.0,542.51
HSR Layout,Morning,4743.05,2.19,0.5659,110.7,12.0,4,1788.8,621.47
Yelahanka,Night,5053.77,3.84,0.2193,135.2,7.0,2,849.61,187.68
Electronic City,Morning,3245.11,0.57,0.6631,126.3,2.0,0,0.0,183.05
Indiranagar,Morning,7920.66,2.37,0.7268,81.1,11.0,1,462.82,693.81
Electronic City,Morning,4300.9,3.76,0.5339,113.4,5.0,4,1441.29,251.72
Jayanagar,Morning,3562.5,1.76,0.1287,135.4,12.0,4,1849.02,472.8
Whitefield,Night,9549.98,0.08,0.0422,98.7,4.0,2,882.35,370.58
Indiranagar,Night,8536.36,1.79,0.213,147.0,9.0,2,938.55,457.16
Whitefield,Peak,6333.66,1.05,0.396,105.2,13.0,0,0.0,699.97
Marathahalli,Night,6731.91,7.96,0.2949,142.9,13.0,2,1018.29,814.02
HSR Layout,Morning,2185.31,0.4,0.1133,136.9,2.0,2,698.57,128.01
Koramangala,Peak,8833.49,3.17,0.3318,142.6,7.0,0,0.0,521.74
Electronic City,Peak,5614.54,0.16,0.1103,52.6,13.0,3,1697.31,660.13
Yelahanka,Peak,7660.58,1.77,0.127,174.9,7.0,4,1284.61,447.11
HSR Layout,Morning,2022.88,2.42,0.2079,76.7,7.0,0,0.0,55.16
Indiranagar,Night,8955.14,1.06,0.3954,110.7,1.0,3,1411.95,350.92
Whitefield,Morning,5494.31,1.82,0.2827,87.7,8.0,2,1132.31,260.3
Yelahanka,Peak,4247.92,0.54,0.3591,123.6,2.0,1,554.49,186.43
Whitefield,Morning,6320.8,1.09,0.4565,114.4,5.0,3,1093.13,196.59
Jayanagar,Morning,5807.21,2.91,0.5772,152.6,2.0,0,0.0,323.26
Whitefield,Night,9148.54,1.08,0.2788,122.2,13.0,3,1827.41,919.71
Jayanagar,Night,6159.21,6.9,0.06,100.4,5.0,0,0.0,354.79
Marathahalli,Peak,9725.23,2.97,0.0557,30.1,7.0,3,1526.62,339.77
Yelahanka,Morning,7660.29,1.73,0.3284,164.2,6.0,1,419.53,371.71
Yelahanka,Morning,8788.74,0.12,0.3647,145.9,13.0,0,0.0,662.3
Koramangala,Night,6995.67,2.08,0.4422,166.3,12.0,1,478.51,743.98
Indiranagar,Morning,9544.12,4.34,0.4675,110.7,5.0,0,0.0,410.68
Jayanagar,Morning,4692.75,0.93,0.1507,137.8,4.0,0,0.0,139.07
Koramangala,Morning,7227.25,4.93,0.1809,87.3,8.0,0,0.0,369.34
Whitefield,Night,6207.13,0.87,0.2155,82.8,11.0,3,1486.91,512.5
Whitefield,Peak,9793.26,5.21,0.2147,105.8,8.0,4,1324.99,495.52
Koramangala,Peak,9998.07,0.27,0.3289,166.1,1.0,4,1198.49,566.6
Yelahanka,Morning,7000.84,6.03,0.2524,106.3,10.0,3,1480.59,469.2
Whitefield,Peak,4416.98,2.07,0.0523,117.3,2.0,3,1611.59,152.08
Electronic City,Night,7854.19,1.06,0.5453,132.1,3.0,0,0.0,365.1
Marathahalli,Night,3670.78,0.92,0.2296,121.3,13.0,3,1529.5,576.28
Marathahalli,Peak,10252.29,1.7,0.2699,170.7,1.0,3,1441.53,489.12
Electronic City,Peak,6053.66,20.88,0.5629,82.6,11.0,0,0.0,683.28
Koramangala,Morning,6938.86,0.75,0.2943,125.0,3.0,2,1044.45,251.02
Electronic City,Peak,5638.1,0.33,0.0261,143.7,10.0,1,382.73,363.24
Jayanagar,Morning,5196.44,2.64,0.51,37.9,12.0,4,1702.95,578.39
Jayanagar,Morning,8474.58,2.01,0.1166,133.3,8.0,2,770.91,338.45
Koramangala,Night,6682.77,2.23,0.1242,187.1,4.0,5,2190.33,507.87
Electronic City,Night,7084.97,3.3,0.2997,102.5,13.0,0,0.0,690.55
Jayanagar,Night,4992.22,0.93,0.2013,65.7,13.0,0,0.0,556.97
Yelahanka,Night,8712.12,7.25,0.0368,143.4,7.0,6,2572.86,460.68
Electronic City,Peak,8915.58,1.72,0.3176,129.0,7.0,0,0.0,315.83
Yelahanka,Night,6582.14,0.41,0.3631,196.1,11.0,1,581.52,545.07
Jayanagar,Peak,9535.84,4.07,0.2565,141.9,5.0,2,1006.12,375.94
